GEOGNAME,GEOGKEYX,P0050001,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,P0130001,P0150001,P0170001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004
Geog,GeogKey,Total Population,"Not Hispanic or Latino, White alone","Not Hispanic or Latino, Black or African American alone","Not Hispanic or Latino, American Indian and Alaska Native alone","Not Hispanic or Latino, Asian alone","Not Hispanic or Latino, Native Hawaiian and Other Pacific Islander alone","Not Hispanic or Latino, Some Other Race alone","Not Hispanic or Latino, Two or More Races",Hispanic or Latino,Male: Under 5 years old,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: Under 5 years old,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Median Age,Total Households,Average Household Size,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Occupied Housing Units,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
Chicago Lawn,66,55628,2419,27403,72,190,2,82,319,25141,2447,2498,2494,1566,949,475,442,1291,2125,2049,1800,1718,1667,1542,1247,413,463,250,343,383,249,184,100,2504,2412,2516,1609,1003,466,476,1406,2210,2023,2001,1837,1981,1704,1523,486,586,326,416,525,370,284,269,28.0,15557,3.55,18467,15557,2910,15557,6276,1035,8246
West Englewood,67,35505,130,34178,67,19,0,28,309,774,1381,1336,1563,1109,701,355,285,730,1060,852,819,924,1137,1122,841,265,364,203,305,449,334,228,105,1295,1362,1439,1095,704,294,272,768,1266,1122,1073,1081,1321,1257,970,402,576,311,493,686,593,380,277,31.5,10417,3.37,13422,10417,3005,10417,3366,1498,5553
Englewood,68,30654,105,29847,53,34,8,16,266,325,1223,1225,1330,937,557,250,250,669,834,767,625,663,909,930,770,248,307,200,201,313,260,184,128,1191,1152,1341,969,606,358,301,707,1186,1015,1023,1003,1112,1110,902,323,365,221,324,515,457,352,341,30.5,10248,2.97,14518,10248,4270,10248,1834,1030,7384
Greater Grand Crossing,69,32602,180,31590,77,21,4,28,314,388,1230,1182,1277,884,469,216,188,564,816,773,806,839,948,1075,877,329,390,187,255,310,248,233,237,1266,1200,1194,886,527,269,267,763,1235,1139,1029,1084,1235,1399,1220,412,476,282,343,533,480,486,544,33.9,12585,2.55,15517,12585,2932,12585,2939,1277,8369
Ashburn,70,41081,6251,18976,45,276,1,26,374,15132,1409,1644,1779,1068,638,306,315,793,1273,1236,1303,1361,1489,1447,1155,372,480,218,317,399,282,221,185,1373,1625,1757,1036,628,300,241,781,1267,1414,1447,1581,1687,1646,1320,440,513,278,360,455,408,435,399,33.5,12451,3.25,13060,12451,609,12451,8900,1879,1672
Auburn Gresham,71,48743,134,47661,81,33,2,24,349,459,1581,1584,1837,1268,738,390,315,778,1233,1133,1137,1263,1558,1447,1283,412,615,352,480,770,620,386,243,1527,1638,1899,1347,823,382,370,1011,1613,1515,1685,1637,1879,1996,1603,688,973,547,819,1224,999,632,513,37.0,17603,2.76,20351,17603,2748,17603,5983,2320,9300
Beverly,72,20034,11785,6838,23,112,9,31,321,915,597,737,776,522,224,88,83,285,488,488,547,683,756,836,722,318,356,164,232,232,206,124,94,599,702,746,465,196,84,64,317,478,541,667,769,847,938,919,359,406,223,204,326,227,193,206,40.9,7546,2.65,7915,7546,369,7546,4675,1454,1417
Washington Heights,73,26493,121,25793,36,12,4,18,251,258,716,747,976,688,393,180,175,399,586,543,669,762,867,839,687,257,301,193,315,501,439,263,184,681,745,966,689,426,178,179,416,712,724,955,882,1037,1071,989,377,522,310,535,879,713,464,363,41.2,9482,2.77,10365,9482,883,9482,4626,1921,2935
Mount Greenwood,74,19093,16413,987,34,126,3,6,142,1382,630,651,646,372,343,156,151,365,647,628,694,657,779,792,627,198,213,118,182,175,129,117,126,610,617,635,367,430,228,178,375,529,623,622,684,734,765,602,170,233,121,197,244,223,257,253,36.1,6990,2.63,7374,6990,384,6990,4440,1555,995
Morgan Park,75,22544,6473,15039,11,92,8,24,278,619,610,694,807,606,328,145,130,370,521,576,571,666,751,843,744,252,278,149,199,329,296,191,152,648,683,802,641,326,119,128,403,614,612,765,764,955,996,903,313,371,218,353,530,425,311,456,40.5,8187,2.70,8958,8187,771,8187,4400,1534,2253
O'Hare,76,12756,9845,403,15,1058,2,24,197,1212,473,307,205,130,86,33,56,276,717,813,582,490,471,421,392,129,161,89,113,162,130,89,96,439,252,212,111,78,66,50,283,699,717,461,384,362,440,437,171,180,94,178,182,204,169,166,36.6,6127,2.08,6677,6127,550,6127,1843,881,3403
Edgewater,77,56521,30889,8104,98,6582,13,140,1377,9318,1297,939,768,483,827,496,382,1409,3384,3170,2771,2749,2514,2062,1711,586,773,375,489,679,505,366,299,1303,833,788,447,1191,614,451,1556,3307,2699,2088,1803,1728,1669,1593,601,841,454,683,854,657,636,691,36.6,29516,1.82,32889,29516,3373,29516,8348,2505,18663
