Asset_Type,Category,Year,Begin_Balance,Additions,Reductions,End_Balance
Total Accumulated Depreciation,Less Accumulated Depreciation,2015,-3894726803,-217160386,60732564,-4051154625
"Total Capital Assets being depreciated, net",Net Total,2015,2581425570,131270127,0,2712695697
"Total Capital Assets, net",Net Total,2015,2937900653,168368948,-153872484,2952397117
"Capital Assets, not being depreciated:",,2016,,,,
Land,"Capital Assets, not being depreciated:",2016,153263036,0,0,153263036
Capital projects in progress,"Capital Assets, not being depreciated:",2016,86438384,0,-76025843,10412541
"Total Capital Assets, not being depreciated","Capital Assets, not being depreciated:",2016,239701420,0,-76025843,163675577
Capital Assets being depreciated:,,2016,,,,
Rolling stock and equipment,Capital Assets being depreciated:,2016,2232644622,179367830,0,2412012452
Roadways and structures,Capital Assets being depreciated:,2016,4024210897,120877979,0,4145088876
"Furniture, fixtures, and office equipment",Capital Assets being depreciated:,2016,506994803,24477929,0,531472732
Total Capital Assets being depreciated,Capital Assets being depreciated:,2016,6763850322,324723738,0,7088574060
Less Accumulated Depreciation:,,2016,,,,
Rolling stock and equipment,Less Accumulated Depreciation,2016,-1028381487,-89303426,0,-1117684913
Roadways and structures,Less Accumulated Depreciation,2016,-2605312362,-122345919,0,-2727658281
"Furniture, fixtures, and office equipment",Less Accumulated Depreciation,2016,-417460776,-16902158,0,-434362934
Total Accumulated Depreciation,Less Accumulated Depreciation,2016,-4051154625,-228551503,0,-4279706128
"Total Capital Assets being depreciated, net",Net Total,2016,2712695697,96172235,0,2808867932
"Total Capital Assets, net",Net Total,2016,2952397117,96172235,-76025843,2972543509
"Capital Assets, not being depreciated:",,2017,,,,
Land,"Capital Assets, not being depreciated:",2017,153263036,882835,0,154145871
Capital projects in progress,"Capital Assets, not being depreciated:",2017,10412541,-10412541,0,
"Total Capital Assets, not being depreciated","Capital Assets, not being depreciated:",2017,163675577,-9529706,0,154145871
Capital Assets being depreciated:,,2017,,,,
Rolling stock and equipment,Capital Assets being depreciated:,2017,2412012452,66505048,0,2478517500
Roadways and structures,Capital Assets being depreciated:,2017,4145088876,130256646,0,4275345522
"Furniture, fixtures, and office equipment",Capital Assets being depreciated:,2017,531472733,34235558,-5039802,560668489
Total Capital Assets being depreciated,Capital Assets being depreciated:,2017,7088574061,230997252,-5039802,7314531511
Less Accumulated Depreciation:,,2017,,,,
Rolling stock and equipment,Less Accumulated Depreciation,2017,-1117684913,-95214323,0,-1212899236
Roadways and structures,Less Accumulated Depreciation,2017,-2727658281,-129726361,0,-2857384642
"Furniture, fixtures, and office equipment",Less Accumulated Depreciation,2017,-434362935,-23257669,5039802,-452580802
Total Accumulated Depreciation,Less Accumulated Depreciation,2017,-4279706129,-248198353,5039802,-4522864679
"Total Capital Assets being depreciated, net",Net Total,2017,2808867932,-17201101,0,2791666832
"Total Capital Assets, net",Net Total,2017,2972543509,-26730807,0,2945812703
