U.S. All Grades Conventional Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0U_PTE_NUS_DPG&f=M
20:31:21 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. All Grades Conventional Retail Gasoline Prices Dollars per Gallon
Nov 1998,1.02
Oct 1998,1.045
Sep 1998,1.033
Aug 1998,1.049
Jul 1998,1.078
Jun 1998,1.086
May 1998,1.088
Apr 1998,1.064
Mar 1998,1.055
Feb 1998,1.082
Jan 1998,1.115
Dec 1997,1.159
Nov 1997,1.198
Oct 1997,1.222
Sep 1997,1.254
Aug 1997,1.25
Jul 1997,1.206
Jun 1997,1.227
May 1997,1.229
Apr 1997,1.228
Mar 1997,1.237
Feb 1997,1.263
Jan 1997,1.27
Dec 1996,1.273
Nov 1996,1.273
Oct 1996,1.243
Sep 1996,1.238
Aug 1996,1.238
Jul 1996,1.254
Jun 1996,1.282
May 1996,1.302
Apr 1996,1.259
Mar 1996,1.169
Feb 1996,1.121
Jan 1996,1.123
Dec 1995,1.105
Nov 1995,1.098
Oct 1995,1.122
Sep 1995,1.148
Aug 1995,1.161
Jul 1995,1.189
Jun 1995,1.226
May 1995,1.213
Apr 1995,1.143
Mar 1995,1.099
Feb 1995,1.099
Jan 1995,1.107
Dec 1994,1.112
