route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
3,King Drive,03/01/2001,23081.6,14786.6,8979.5,617646
4,Cottage Grove,03/01/2001,24463.9,19493.7,11761.6,682721
6,Jackson Park Express,03/01/2001,19086.8,12859.5,7180.5,512929
7,Harrison,03/01/2001,5729.1,0,0,126040
8,Halsted,03/01/2001,20442.8,13256.7,9257.3,553054
8A,South Halsted,03/01/2001,3286.8,2914.5,1586.4,93228
9,Ashland,03/01/2001,31563.9,23909.9,16119.4,878433
10,Museum of S & I,03/01/2001,0,974.8,534.1,7010
11,Lincoln/Sedgwick,03/01/2001,3725.6,1875.1,1088.1,95692
12,Roosevelt,03/01/2001,11387.9,7384.8,5398.4,309052
14,Jeffery Express,03/01/2001,9540.6,0,0,209894
17,Westchester,03/01/2001,578,0,0,12716
18,16th/18th,03/01/2001,1717.8,979.8,710.8,45533
19,United Center Express,03/01/2001,983.3,2112.2,644.9,22537
20,Madison,03/01/2001,22559.6,14278,8496.7,601687
21,Cermak,03/01/2001,7861.8,8240.3,5852.5,237571
X21,Cermak Express,03/01/2001,0,1174,511.2,7915
22,Clark,03/01/2001,22534.9,15977.9,11678,622370
24,Wentworth,03/01/2001,4669.2,0,0,102721
25,West Cermak,03/01/2001,274.5,0,0,6040
27,South Deering,03/01/2001,6091.2,3486.8,2549.1,161636
28,Stony Island,03/01/2001,13173.1,10381.4,6018,365786
29,State,03/01/2001,17732.8,13083.9,9137.5,492091
30,South Chicago,03/01/2001,4203.3,2201.1,707.4,106308
33,Mag Mile Express,03/01/2001,780.3,0,0,17166
34,South Michigan,03/01/2001,8338,6218.6,4215.2,231390
35,35th,03/01/2001,6190.3,3611.6,2076.3,162549
36,Broadway,03/01/2001,15571.8,14705.2,9019.4,452183
37,Sedgwick,03/01/2001,2618.1,0,0,57598
39,Pershing,03/01/2001,2255.8,0,0,49629
43,43rd,03/01/2001,1308.1,722,368.7,33863
44,Wallace-Racine,03/01/2001,6994.1,3150.3,1662.5,176272
47,47th,03/01/2001,8657.9,6689.2,3835.8,239264
48,South Damen,03/01/2001,1313.7,0,0,28902
49,Western,03/01/2001,24336.2,20586.9,12524.6,688429
49A,South Western,03/01/2001,437,0,0,9614
49B,North Western,03/01/2001,5150.2,3373.9,2091.2,138538
X49,Western Express,03/01/2001,6016.4,0,0,132360
50,Damen,03/01/2001,9353.5,4719.6,2918.6,241049
51,51st,03/01/2001,4966.5,4193.2,2092.8,138600
52,Kedzie/California,03/01/2001,12226.5,9252.4,5549.4,337442
52A,South Kedzie,03/01/2001,6445.2,3810.1,2187.6,169595
53,Pulaski,03/01/2001,22336.2,16071.4,10142.3,612322
53A,South Pulaski,03/01/2001,9781.8,3558.8,1672.9,239686
54,Cicero,03/01/2001,12638.4,10284.9,6537.4,355619
54A,North Cicero/Skokie Blvd.,03/01/2001,1444.6,0,0,31781
54B,South Cicero,03/01/2001,5084.5,5160.6,2753.9,148677
55,Garfield,03/01/2001,13365,9828.9,7085,371515
55N,55th/Narragansett,03/01/2001,1138.3,165.4,0,25869
56,Milwaukee,03/01/2001,15492.3,10097.6,7307.1,420547
56A,North Milwaukee,03/01/2001,633.7,0,0,13941
57,Laramie,03/01/2001,3156.4,1646.9,684.9,80416
59,59th/61st,03/01/2001,4569,2336.7,0,112201
60,Blue Island/26th,03/01/2001,14751.9,10674.1,6835.8,405256
62,Archer,03/01/2001,15564.3,8070.4,4971.4,402652
62H,Archer/Harlem,03/01/2001,1454,708.1,0,35528
63,63rd,03/01/2001,22720.8,17745.8,11882.2,636114
63W,West 63rd,03/01/2001,2323.6,753.2,427.3,56594
64,Foster-Canfield,03/01/2001,268.7,0,0,5912
65,Grand,03/01/2001,7000.3,3692.4,1957.5,180298
66,Chicago,03/01/2001,21182.7,13293.3,8251.7,565492
67,67th-69th-71st,03/01/2001,14908.6,10345.6,6832.9,407048
68,Northwest Highway,03/01/2001,1681.2,726.9,274.5,41719
69,Cumberland/East River,03/01/2001,442.4,0,0,9733
70,Division,03/01/2001,11037.6,7872.4,5414,303846
71,71st/South Shore,03/01/2001,7310.8,5808.5,3438.3,203634
72,North,03/01/2001,16133.3,11415.2,7688.1,442762
73,Armitage,03/01/2001,5324.8,2501.6,1403.9,135270
74,Fullerton,03/01/2001,13118.1,11041.7,6419.1,369482
75,74th-75th,03/01/2001,7320.5,5306.7,3294.7,200764
76,Diversey,03/01/2001,14294,8627.8,5705.8,380431
77,Belmont,03/01/2001,20926.5,14095.9,9080.3,567184
78,Montrose,03/01/2001,9481,6177.6,3608.6,253905
79,79th,03/01/2001,31981.4,26330.6,17012.3,903294
80,Irving Park,03/01/2001,12315.9,8866.3,6234.8,340221
81,Lawrence,03/01/2001,15298.6,12536.9,8143.2,431828
81W,West Lawrence,03/01/2001,1507.6,1025.1,437.3,40042
82,Kimball-Homan,03/01/2001,21323.3,13335.5,7651.3,566396
84,Peterson,03/01/2001,4466.4,2343.3,1167.5,114648
85,Central,03/01/2001,13872.6,8535.9,5214.9,368735
85A,North Central,03/01/2001,853.5,86.5,0,19209
86,Narragansett/Ridgeland,03/01/2001,1971.1,0,0,43364
87,87th,03/01/2001,17093.7,10971.7,5650,453521
88,Higgins,03/01/2001,1796.8,748.5,443.7,45048
90,Harlem,03/01/2001,3958.2,3083.3,1618.7,108971
